symbol,organ_name
DTP,CTCP Dược phẩm CPC1 Hà Nội
TID,CTCP Tổng Công ty Tín Nghĩa
ASM,CTCP Tập đoàn Sao Mai
VTD,CTCP Vietourist Holdings
VES,CTCP Tập đoàn VinaLiving
VIC,Tập đoàn VINGROUP - CTCP
SBV,CTCP Siam Brothers Việt Nam
HUB,CTCP Xây lắp Thừa Thiên Huế
FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam
VCI,CTCP Chứng khoán Vietcap
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP
SRA,CTCP Sara Việt Nam
OGC,CTCP Tập đoàn Đại Dương
DNN,CTCP Cấp nước Đà Nẵng
C47,CTCP Xây dựng 47
DVC,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng
FBC,CTCP Cơ khí Phổ Yên
SSM,CTCP Chế tạo kết cấu Thép Vneco.SSM
DWC,CTCP Cấp nước Đắk Lắk
NTC,CTCP Khu Công nghiệp Nam Tân Uyên
CCP,CTCP Cảng Cửa Cấm Hải Phòng
SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh
AME,CTCP Alphanam E&C
KSB,CTCP Khoáng sản và Xây dựng Bình Dương
GDH,CTCP Tập đoàn GDC
VSI,CTCP Đầu tư và Xây dựng Cấp thoát nước
BHG,CTCP Chè Biển Hồ
DTH,CTCP Dược - Vật tư Y Tế Thanh Hóa
PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh
TKU,CTCP Công nghiệp Tung Kuang
XHC,CTCP Xuân Hòa Việt Nam
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng
VJC,CTCP Hàng không Vietjet
VPI,CTCP Phát triển Bất động sản Văn Phú
FOX,CTCP Viễn thông FPT
LGC,CTCP Đầu tư Cầu đường CII
SGH,CTCP Khách sạn Sài Gòn
NAG,CTCP Tập đoàn Nagakawa
HT1,CTCP Xi Măng Vicem Hà Tiên
HCI,CTCP Đầu tư Xây dựng Hà Nội 
TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - CTCP
TRV,CTCP Vận tải Đường sắt
C32,CTCP Đầu tư và Xây dựng 3-2
CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị
CKV,CTCP COKYVINA
NTW,CTCP Cấp nước Nhơn Trạch
VDP,CTCP Dược phẩm Trung ương VIDIPHA
PBT,CTCP Bao bì và Thương mại dầu khí Bình Sơn
FTS,CTCP Chứng khoán FPT
VSN,CTCP Việt Nam Kỹ nghệ Súc sản
VPX,CTCP Chứng khoán VPBank
TLG,CTCP Tập đoàn Thiên Long
CTW,CTCP Cấp thoát nước Cần Thơ
SGS,CTCP Vận tải biển Sài Gòn
IDJ,CTCP Đầu tư IDJ Việt Nam
G36,Tổng Công ty 36 - CTCP
VHF,CTCP Xây dựng và Chế biến Lương thực Vĩnh Hà
HRB,CTCP Harec Đầu tư và Thương mại
TEG,CTCP Trường Thành Energy Group
DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng
VNA,CTCP Vận tải Biển Vinaship
HUT,CTCP Tasco
ALT,CTCP Văn hóa Tân Bình
KCB,CTCP Khoáng sản và Luyện kim Cao Bằng - Vimico
TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công
BSI,CTCP Chứng khoán BIDV
DNM,Tổng Công ty cổ phần Y tế DANAMECO
DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương
SD4,CTCP Sông Đà 4
CNC,CTCP Công nghệ Cao Traphaco
PGC,Tổng Công ty Gas Petrolimex - CTCP
NAS,CTCP Dịch vụ Hàng không Sân bay Việt Nam
V21,CTCP Vinaconex 21
CH5,CTCP Xây dựng Số 5 Hà Nội
PND,CTCP Xăng dầu Dầu khí Nam Định
MAC,CTCP Tập đoàn Macstar
HJC,CTCP Hòa Việt
TCJ,CTCP Tô Châu
PVG,CTCP Kinh doanh LPG Việt Nam
TA6,CTCP Đầu tư và Xây lắp Thành An 665
THP,CTCP Thủy sản và Thương mại Thuận Phước
ITC,CTCP Đầu tư và Kinh doanh Nhà
TCB,Ngân hàng TMCP Kỹ thương Việt Nam
BTV,CTCP Dịch vụ Du lịch Bến Thành
LUT,CTCP Đầu tư Xây dựng Lương Tài
ICC,CTCP Xây dựng Công nghiệp (ICC)
BTS,CTCP Xi măng VICEM Bút Sơn
DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai
VND,CTCP Chứng khoán VNDIRECT
ABC,CTCP Truyền thông VMG
SHS,CTCP Chứng khoán Sài Gòn - Hà Nội
VTG,CTCP Du lịch Tỉnh Bà Rịa - Vũng Tàu
SJM,CTCP Sunspace Holdings
HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà
VEF,CTCP Trung tâm Hội chợ Triển lãm Việt Nam
DDM,CTCP Hàng Hải Đông Đô
STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh
BQP,CTCP Nhựa Chất lượng cao Bình Thuận
D2D,CTCP Phát triển Đô thị Công nghiệp số 2
AAM,CTCP Thủy sản MeKong
VXP,CTCP Thuốc Thú y Trung ương VETVACO
HU4,CTCP Đầu tư và Xây dựng HUD4
PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc
VFR,CTCP Vận tải và Thuê tàu
VC7,CTCP Tập đoàn BGI
DVG,CTCP Đại Việt Group DVG
S99,CTCP SCI
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ
NAP,CTCP Cảng Nghệ Tĩnh
HNF,CTCP Thực phẩm Hữu Nghị
ITD,CTCP Công nghệ ITD
PMJ,CTCP Vật tư Bưu Điện
INC,CTCP Tư vấn Đầu tư IDICO
MED,CTCP Dược Trung ương Mediplantex
CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO
NHT,CTCP Sản xuất và Thương mại Nam Hoa
MES,CTCP Cơ điện Công trình
VWS,CTCP Nước và Môi Trường Việt Nam
VGR,CTCP Cảng Xanh Vip
PDC,CTCP Du lịch Dầu khí Phương Đông
BIG,CTCP Tập đoàn Đầu tư Big
PIA,CTCP Tin học Viễn thông Petrolimex
TPB,Ngân hàng TMCP Tiên Phong
PHS,CTCP Chứng khoán Phú Hưng
VNR,Tổng Công ty cổ phần Tái Bảo hiểm Quốc gia Việt Nam
LPB,Ngân hàng TMCP Lộc Phát Việt Nam
TCD,CTCP Tập đoàn Xây dựng TRACODI
SGB,Ngân hàng TMCP Sài Gòn Công Thương
THT,CTCP Than Hà Tu - Vinacomin
SCD,CTCP Nước giải khát Chương Dương
VTE,CTCP VINACAP Kim Long
POT,CTCP Thiết bị Bưu điện
SKV,CTCP Nước giải khát Yến sào Khánh Hòa
SHI,CTCP Quốc tế Sơn Hà
ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE
MTL,CTCP Dịch vụ Môi trường Đô thị Từ Liêm
VFG,CTCP Khử trùng Việt Nam
PJT,CTCP Vận tải Xăng dầu Đường Thủy Petrolimex
VGG,Tổng Công ty cổ phần May Việt Tiến
TCW,CTCP Kho Vận Tân Cảng
OIL,Tổng Công ty Dầu Việt Nam - CTCP
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn
PDB,CTCP Tập đoàn Đầu tư Din Capital
DLD,CTCP Du lịch Đắk Lắk
DAN,CTCP Dược Danapha
F88,CTCP Đầu tư F88
TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam
VRE,CTCP Vincom Retail
BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội
BCA,CTCP B.C.H
HFC,CTCP Xăng dầu HFC
PAS,CTCP Quốc tế Phương Anh
VNG,CTCP Du lịch Thành Thành Công
AVC,CTCP Thủy điện A Vương
DCF,CTCP Xây dựng và Thiết kế Số 1
WSS,CTCP Chứng khoán Phố Wall
TV2,CTCP Tư vấn Xây dựng Điện 2
MNB,Tổng Công ty May Nhà Bè - CTCP
TMC,CTCP Thương mại Xuất nhập khẩu Thủ Đức
VPS,CTCP Thuốc sát trùng Việt Nam 
SDT,CTCP Sông Đà 10
SRB,CTCP Tập đoàn Sara
NFC,CTCP Phân lân Ninh Bình
VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang
MWG,CTCP Đầu tư Thế giới Di động
BCP,CTCP Dược ENLIE
KSV,Tổng Công ty Khoáng sản TKV - CTCP
PCF,CTCP Cà phê PETEC
PIV,CTCP PIV
INN,CTCP Bao bì và In Nông nghiệp
NNC,CTCP Đá Núi Nhỏ
NHH,CTCP Nhựa Hà Nội
GGG,CTCP Ô tô Giải Phóng
TMP,CTCP Thủy điện Thác Mơ
CSM,CTCP Công nghiệp Cao su Miền Nam
DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản
TIX,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình
GPC,CTCP Tập đoàn Green+
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
UPS,CTCP Chứng khoán UP
STG,CTCP Kho vận Miền Nam
L35,CTCP Cơ khí Lắp máy Lilama
DNT,CTCP Du lịch Đồng Nai
MLC,CTCP Môi trường Đô thị Tỉnh Lào Cai
SBA,CTCP Sông Ba
PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao
ANV,CTCP Nam Việt
ADG,CTCP Clever Group
MTG,CTCP MT Gas
EGL,CTCP Môi trường Đô thị Gia Lâm
VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh
BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận
NAF,CTCP Nafoods Group
SMA,CTCP Thiết bị Phụ tùng Sài Gòn
FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh
TRS,CTCP Vận tải và Dịch vụ Hàng hải
VNZ,CTCP Tập đoàn VNG 
TSA,CTCP Đầu tư và Xây lắp Trường Sơn
ADS,CTCP Damsan
PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An
SCS,CTCP Dịch vụ Hàng hóa Sài Gòn
AIG,CTCP Nguyên liệu Á Châu AIG
ULG,CTCP Logistics U&I
BBH,CTCP Bao bì Hoàng Thạch
CC1,Tổng Công ty Xây dựng Số 1 - CTCP
S4A,CTCP Thủy điện Sê San 4A
HC1,CTCP Xây dựng Số 1 Hà Nội
SIG,CTCP Đầu tư và Thương mại Sông Đà
VCB,Ngân hàng TMCP Ngoại thương Việt Nam
DHD,CTCP Dược Vật tư Y tế Hải Dương
VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam – CTCP
QCG,CTCP Quốc Cường Gia Lai
SDD,CTCP Đầu tư và Xây lắp Sông Đà
XDH,CTCP Đầu tư Xây dựng Dân dụng Hà Nội
IRC,CTCP Cao su Công nghiệp
ACM,CTCP Tập đoàn Khoáng sản Á Cường
RCC,CTCP Tổng Công ty Công trình Đường sắt Việt Nam
VTV,CTCP Năng lượng và Môi trường VICEM
PGS,CTCP Kinh doanh Khí Miền Nam
ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO
PLO,CTCP Kho Vận Petec
VHM,CTCP Vinhomes
CTR,Tổng Công ty cổ phần Công trình Viettel
VCX,CTCP Xi măng Yên Bình
TDC,CTCP Kinh doanh và Phát triển Bình Dương
TBW,CTCP Nước sạch Thái Bình
FCS,CTCP Lương thực Thành phố Hồ Chí Minh
SBB,CTCP Tập đoàn Bia Sài Gòn - Bình Tây
HCD,CTCP Đầu tư Sản xuất và Thương mại HCD
BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội
VAV,CTCP VIWACO
KMR,CTCP Mirae
TUG,CTCP Lai Dắt và Vận tải Cảng Hải Phòng
DXS,CTCP Dịch vụ Bất động sản Đất Xanh
AST,CTCP Dịch vụ Hàng không Taseco
TTD,CTCP Bệnh viện tim Tâm Đức
HU1,CTCP Đầu tư và Xây dựng HUD1
KIP,CTCP K.I.P Việt Nam
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC
UTT,CTCP Môi trường Nam Thành
HVH,CTCP Đầu tư và Công nghệ HVC
NVP,CTCP Nước sạch Vĩnh Phúc
HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng
PVH,CTCP Xây lắp Dầu khí Thanh Hóa
HHC,CTCP Bánh kẹo Hải Hà 
GEE,CTCP Điện lực Gelex
EMG,CTCP Thiết bị Phụ Tùng Cơ Điện
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI
CRE,CTCP Bất động sản Thế Kỷ
BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân"
XLV,CTCP Xây Lắp và Dịch vụ Sông Đà
HNA,CTCP Thủy điện Hủa Na
V12,CTCP Xây dựng Số 12
VIX,CTCP Chứng khoán VIX
DWS,CTCP Cấp nước và Môi trường đô thị Đồng Tháp
KPF,CTCP Đầu tư tài sản Koji
CKD,CTCP Cơ khí Đông Anh LICOGI
MZG,CTCP Miza
SHP,CTCP Thủy điện Miền Nam
SZG,CTCP Sonadezi Giang Điền
EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP
VST,CTCP Vận tải và Thuê tàu biển Việt Nam
ABB,Ngân hàng TMCP An Bình
VNM,CTCP Sữa Việt Nam
DHT,CTCP Dược phẩm Hà Tây
LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO
SBT,CTCP Thành Thành Công - Biên Hòa
AAV,CTCP AAV Group
ILC,CTCP Hợp tác Lao động với nước ngoài
HLD,CTCP Đầu tư và Phát triển Bất động sản Hudland
HTV,CTCP Logistics Vicem
HTM,Tổng Công ty Thương mại Hà Nội - CTCP
C4G,CTCP Tập đoàn CIENCO4
AMP,CTCP Armephaco
SJ1,CTCP Nông nghiệp Hùng Hậu
HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL
BXH,CTCP VICEM Bao bì Hải Phòng
RTB,CTCP Cao su Tân Biên
SZL,CTCP Sonadezi Long Thành
SRF,CTCP SEAREFICO
GAS,Tổng Công ty Khí Việt Nam - CTCP
PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí
NCS,CTCP Suất ăn Hàng không Nội Bài
RGG,CTCP Regal Group
EVS,CTCP Chứng khoán EVS
UPH,CTCP Dược phẩm TW 25
HTT,CTCP Thương mại Hà Tây
NBE,CTCP Sách và Thiết bị Giáo dục Miền Bắc
HEP,CTCP Môi trường và Công trình Đô thị Huế
RCD,CTCP Xây dựng - Địa ốc Cao su
TCR,CTCP Công nghiệp Gốm sứ Taicera
THU,CTCP Môi trường và Công trình Đô thị Thanh Hóa
BHP,CTCP Bia Hà Nội - Hải Phòng
KTS,CTCP Đường Kon Tum
DVN,Tổng Công ty Dược Việt Nam - CTCP
VFS,CTCP Chứng khoán Nhất Việt
VET,CTCP Thuốc thú y Trung ương Navetco
WCS,CTCP Bến xe Miền Tây
BTT,CTCP Thương mại Dịch vụ Bến Thành
CPC,CTCP Thuốc sát trùng Cần Thơ
HCC,CTCP Bê tông Hòa Cầm - Intimex
YEG,CTCP Tập đoàn Yeah1
VMK,CTCP Vimarko
SBM,CTCP Đầu tư Phát triển Bắc Minh
VHD,CTCP Đầu tư Phát triển Nhà và Đô Thị VINAHUD
HKT,CTCP QP Holdings
VAB,Ngân hàng TMCP Việt Á
MBB,Ngân hàng TMCP Quân đội
MFS,CTCP Dịch vụ Kỹ thuật Mobifone
CMI,CTCP CMISTONE Việt Nam
TOS,CTCP Dịch vụ biển Tân Cảng
IN4,CTCP In Số 4
VTP,Tổng Công ty cổ phần Bưu chính Viettel
DSD,CTCP DHC Suối Đôi
VTX,CTCP Vận tải Đa Phương Thức Vietranstimex
VDL,CTCP Thực phẩm Lâm Đồng
HBH,CTCP Habeco - Hải Phòng
CK8,CTCP Cơ khí 120
SVG,CTCP Hơi Kỹ nghệ Que hàn
BBS,CTCP VICEM Bao bì Bút Sơn
SZC,CTCP Sonadezi Châu Đức
HBS,CTCP Chứng khoán Hòa Bình
VTB,CTCP Viettronics Tân Bình
SLS,CTCP Mía Đường Sơn La
HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả
LNC,CTCP Lệ Ninh
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội
TNI,CTCP Tập đoàn Thành Nam
DL1,CTCP Tập đoàn Alpha Seven
CMM,CTCP Camimex
DPR,CTCP Cao su Đồng Phú
GTD,CTCP Giầy Thượng Đình
GCF,CTCP Thực phẩm G.C
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP
KDM,CTCP Tập Đoàn GCL
TVC,CTCP Tập đoàn Quản lý tài sản T-Corp
VTS,CTCP Gạch ngói Từ Sơn
DCG,CTCP Tổng Công ty May Đáp Cầu
BTD,CTCP Bê tông Ly tâm Thủ Đức
TDB,CTCP Thủy điện Định Bình
HD2,CTCP Đầu tư Phát triển Nhà HUD2
HDA,CTCP Hãng sơn Đông Á
VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel
YBC,CTCP Xi măng và Khoáng sản Yên Bái
HTC,CTCP Thương mại Hóc Môn
UPC,CTCP Phát triển Công viên Cây xanh và Đô thị Vũng Tàu
DAG,CTCP Tập đoàn Nhựa Đông Á
APH,CTCP Tập đoàn An Phát Holdings
L18,CTCP Đầu tư và Xây dựng Số 18
PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội
SEA,Tổng Công ty Thủy sản Việt Nam - CTCP
TCO,CTCP Janus Group
VNX,CTCP Quảng cáo và Hội chợ Thương mại
PPT,CTCP Petro Times
DSH,CTCP Đông Sơn Holding
DP2,CTCP Dược phẩm Trung ương 2
HAH,CTCP Vận tải và Xếp dỡ Hải An
LCG,CTCP Lizen
PBC,CTCP Dược phẩm Trung ương I - Pharbaco
HHG,CTCP Hoàng Hà
LIC,Tổng Công ty LICOGI - CTCP
PGT,CTCP PGT Holdings
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP
CTB,CTCP Chế tạo Bơm Hải Dương
SCG,CTCP Tập đoàn Xây dựng SCG
KTC,CTCP Thương mại Kiên Giang
C21,CTCP Thế Kỷ 21 
NVT,CTCP Bất động sản Du lịch Ninh Vân Bay
VPH,CTCP Vạn Phát Hưng
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ
VTO,CTCP Vận tải Xăng dầu Vitaco
CMV,CTCP Thương nghiệp Cà Mau
VC1,CTCP Xây dựng Số 1
AAH,CTCP Hợp Nhất
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc
KHW,CTCP Cấp thoát nước Khánh Hòa
PVP,CTCP Vận tải Dầu khí Thái Bình Dương
VPA,CTCP Vận tải Hoá Dầu VP
VNT,CTCP Giao nhận Vận tải Ngoại thương
TDF,CTCP Trung Đô
CDN,CTCP Cảng Đà Nẵng
UCT,CTCP Đô thị Cần Thơ
HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân
VLB,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa
VNY,CTCP Thuốc thú y Trung ương I
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP
THB,CTCP Bia Hà Nội - Thanh Hóa
NSC,CTCP Tập đoàn Giống cây trồng Việt Nam
VAF,CTCP Phân lân Nung chảy Văn Điển
DXG,CTCP Bluemarq Group
TTL,Tổng Công ty Thăng Long - CTCP
VTR,CTCP Du lịch Vietravel
REE,CTCP Cơ Điện Lạnh
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP
SCC,CTCP Thương mại Đầu tư SHB
DBC,CTCP Tập đoàn Dabaco Việt Nam
CMS,CTCP Tập Đoàn CMH Việt Nam
CMW,CTCP Cấp nước Cà Mau
NXT,CTCP Sản xuất và Cung ứng Vật liệu Xây dựng Kon Tum
AGR,CTCP Chứng khoán Agribank
DTL,CTCP Đại Thiên Lộc
HVX,CTCP Xi măng VICEM Hải Vân
VIG,CTCP Chứng khoán Đầu tư tài chính Việt Nam
DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai
IME,CTCP Cơ khí và Xây lắp Công nghiệp
DLG,CTCP Tập đoàn Đức Long Gia Lai
AAS,CTCP Chứng khoán SmartInvest 
DTC,CTCP Viglacera Đông Triều
ONW,CTCP Tập đoàn ONW
SKG,CTCP Tàu cao tốc Superdong - Kiên Giang
PSB,CTCP Cảng Kỹ thuật PTSC Sao Mai
CVN,CTCP Vinam
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng
TVH,CTCP Tư vấn Xây dựng công trình Hàng hải
VC6,CTCP Xây dựng và Đầu tư Visicons
PPY,CTCP Xăng dầu Dầu khí Phú Yên
VDT,CTCP Lưới thép Bình Tây
ORS,CTCP Chứng khoán Tiên Phong
TCT,CTCP Cáp treo Núi Bà Tây Ninh
SD5,CTCP Sông Đà 5
SVT,CTCP Công nghệ Sài Gòn Viễn Đông
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP
STH,CTCP STH Holdings
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP
GHC,CTCP Thủy điện Gia Lai
NCT,CTCP Dịch vụ Hàng hóa Nội Bài
VIT,CTCP Viglacera Tiên Sơn
SDY,CTCP Xi măng Sông Đà Yaly
L63,CTCP Lilama 69-3
TOW,CTCP Cấp nước Trà Nóc - Ô Môn
SD7,CTCP Sông Đà 7
CMC,CTCP Đầu tư CMC
MTS,CTCP Vật tư - TKV
FIR,CTCP Địa ốc First Real
VQC,CTCP Giám định - Vinacomin
BMK,CTCP Kỹ thuật nhiệt Mèo Đen
GIC,CTCP VSC Green Logistics
VUA,CTCP Chứng khoán Stanley Brothers
PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ
LTC,CTCP Điện nhẹ Viễn Thông
PTG,CTCP May Xuất khẩu Phan Thiết
VIB,Ngân hàng TMCP Quốc tế Việt Nam
NLG,CTCP Đầu tư Nam Long
KKC,CTCP Tập Đoàn Thành Thái
ATS,CTCP Tập đoàn Đầu tư ATS
VLC,Tổng Công ty Chăn Nuôi Việt Nam - CTCP
GTT,CTCP Thuận Thảo
VE4,CTCP Xây dựng Điện VNECO4
SEP,CTCP Tổng Công ty Thương mại Quảng Trị
CAT,CTCP Thủy sản Cà Mau
SCO,CTCP Công nghiệp Thủy sản
FTM,CTCP Đầu tư và Phát triển Đức Quân
APG,CTCP Chứng khoán APG
BEL,CTCP Điện tử Biên Hòa
HPP,CTCP Sơn Hải Phòng
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội
CBS,CTCP Mía Đường Cao Bằng
VE9,CTCP Đầu tư và Xây dựng VNECO 9
NTT,CTCP Dệt - May Nha Trang
CMX,CTCP Camimex Group
RAL,CTCP Bóng đèn Phích nước Rạng Đông
SFG,CTCP Phân Bón Miền Nam
TVS,CTCP Chứng khoán Thiên Việt
ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế
VGV,Tổng Công ty Tư vấn Xây dựng Việt Nam - CTCP
CEN,CTCP CENCON Việt Nam
TTN,CTCP Công nghệ và Truyền thông Việt Nam
TVT,Tổng Công ty Việt Thắng - CTCP
CDC,CTCP Chương Dương
HPH,CTCP Hóa Chất Hưng Phát Hà Bắc
TMG,CTCP Kim loại màu Thái Nguyên - Vimico
LMH,CTCP Quốc Tế Holding
TSB,CTCP Ắc quy Tia Sáng
BMS,CTCP Chứng khoán Bảo Minh
SFC,CTCP Nhiên liệu Sài Gòn
NET,CTCP Bột giặt NET
DDV,CTCP DAP - VINACHEM
HOM,CTCP Xi măng VICEM Hoàng Mai
ND2,CTCP Đầu tư và Phát triển Điện Miền Bắc 2
MST,CTCP Đầu tư MST
TOT,CTCP Transimex Logistics
PCG,CTCP Đầu tư Phát triển Gas Đô thị
BTB,CTCP Bia Hà Nội - Thái Bình
HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh
LG9,CTCP Cơ giới và Xây lắp Số 9
BSH,CTCP Bia Sài Gòn - Hà Nội
CLI,CTCP Tập đoàn CNCTech
PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC
CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi
DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar)
DOC,CTCP Vật tư Nông Nghiệp Đồng Nai
TVD,CTCP Than Vàng Danh - Vinacomin
QNT,CTCP Tư vấn và Đầu tư Phát triển Quảng Nam
CCS,CTCP Chíp Sáng
ADC,CTCP Mỹ thuật và Truyền thông
APC,CTCP Chiếu xạ An Phú
VGC,Tổng Công ty Viglacera - CTCP
RYG,CTCP Sản xuất và Đầu tư Hoàng Gia
CBI,CTCP Gang thép Cao Bằng
PVL,CTCP Địa ốc Dầu khí
DC4,CTCP DICERA Holdings
COM,CTCP Vật tư - Xăng Dầu
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
STW,CTCP Cấp nước Sóc Trăng
ALC,CTCP Âu Lạc
BTG,CTCP Bao bì Tiền Giang
L12,CTCP Licogi 12
VC3,CTCP Tập đoàn Nam Mê Kông
GTS,CTCP Công trình Giao thông Sài Gòn
FCN,CTCP FECON
KHD,CTCP Khai thác Chế biến Khoáng sản Hải Dương
HTL,CTCP Kỹ thuật và Ô tô Trường Long
GDT,CTCP Chế biến Gỗ Đức Thành
ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam
SJF,CTCP Đầu tư Sao Thái Dương
THM,CTCP Tứ Hải Hà Nam
TVG,CTCP Tư vấn Đầu tư và Xây dựng Giao thông Vận tải
TGG,CTCP The Golden Group
IMP,CTCP Dược phẩm Imexpharm
CJC,CTCP Cơ điện Miền Trung
MSN,CTCP Tập đoàn Masan
PV2,CTCP Genea Capital
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
STD,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô
OCB,Ngân hàng TMCP Phương Đông
MDC,CTCP Than Mông Dương - Vinacomin
TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng
DTT,CTCP Kỹ nghệ Đô Thành
CTG,Ngân hàng TMCP Công Thương Việt Nam
UIC,CTCP Đầu tư Phát triển Nhà và Đô thị IDICO
NQN,CTCP Nước sạch Quảng Ninh
UDC,CTCP Đầu tư Xây dựng UDCons
DPM,Tổng công ty Phân bón và Hóa chất Dầu khí - CTCP
VE8,CTCP Xây dựng Điện VNECO 8
LKW,CTCP Cấp nước Long Khánh
NTL,CTCP Phát triển Đô thị Từ Liêm
TTH,CTCP Thương mại và Dịch vụ Tiến Thành
DTD,CTCP Đầu tư Phát triển Thành Đạt
BRC,CTCP Cao su Bến Thành
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang
KGM,CTCP Xuất nhập khẩu Kiên Giang
FOC,CTCP Dịch vụ Trực tuyến FPT
DM7,CTCP Dệt May 7
CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh
USC,CTCP Khảo sát và Xây dựng -USCO
MML,CTCP Masan MeatLife
POM,CTCP Thép Pomina
DCL,CTCP Dược phẩm Cửu Long
DMN,CTCP Domenal
BTN,CTCP Đầu tư Bitco Bình Định
S72,CTCP Sông Đà 7.02
MDG,CTCP Miền Đông
ACG,CTCP Gỗ An Cường
DHP,CTCP Điện cơ Hải Phòng
CCT,CTCP Cảng Cần Thơ
HPO,CTCP Công nghiệp Hapulico
MGR,CTCP Tập đoàn MGROUP
QHD,CTCP Que hàn điện Việt Đức
